Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,188.000,-6.200,19.380,25.460,130.000,285.000,0.188,0.006,0.019,0.100,0.206,0.169,0.199,0.179,-6.200,0.000,20.000,15.000,1.000
mode small,0,5.000,400.000,359.000,-10.200,32.960,41.090,130.000,310.000,0.359,0.009,0.027,0.076,0.387,0.332,0.372,0.332,-10.200,0.000,20.000,14.000,1.000
mode small,0,5.000,600.000,521.000,-13.100,46.640,58.570,130.000,329.000,0.521,0.016,0.047,0.091,0.569,0.474,0.546,0.491,-13.100,0.000,20.000,14.000,1.000
mode small,0,10.000,200.000,199.000,-0.500,17.860,21.730,130.000,231.000,0.199,0.021,0.063,0.318,0.262,0.136,0.231,0.163,-0.500,0.000,20.000,27.000,0.000
mode small,0,10.000,400.000,340.000,-15.100,27.600,39.930,130.000,238.000,0.340,0.018,0.054,0.159,0.394,0.286,0.365,0.305,-15.100,4.000,20.000,27.000,1.000
mode small,0,10.000,600.000,519.000,-13.500,40.760,56.710,130.000,248.000,0.519,0.024,0.072,0.138,0.590,0.447,0.553,0.461,-13.500,2.000,20.000,27.000,1.000
mode small,0,15.000,200.000,194.000,-3.000,17.290,21.200,130.000,217.000,0.194,0.002,0.006,0.032,0.200,0.188,0.198,0.191,-3.000,0.000,20.000,39.000,0.000
mode small,0,15.000,400.000,345.000,-13.800,28.730,38.420,130.000,227.000,0.345,0.006,0.018,0.053,0.363,0.327,0.357,0.337,-13.800,0.000,20.000,39.000,1.000
mode small,0,15.000,600.000,528.000,-12.100,42.460,54.000,130.000,239.000,0.528,0.006,0.017,0.033,0.545,0.510,0.538,0.516,-12.100,0.000,20.000,39.000,1.000
mode small,0,20.000,200.000,193.000,-3.600,17.990,20.850,130.000,220.000,0.193,0.002,0.007,0.036,0.200,0.186,0.196,0.189,-3.600,0.000,20.000,50.000,0.000
mode small,0,20.000,400.000,324.000,-18.900,27.680,37.910,130.000,229.000,0.325,0.007,0.020,0.062,0.345,0.304,0.335,0.315,-18.900,7.000,20.000,51.000,1.000
mode small,0,20.000,600.000,523.000,-12.900,43.370,55.890,130.000,241.000,0.523,0.006,0.019,0.036,0.541,0.504,0.536,0.513,-12.900,0.000,20.000,51.000,1.000
mode medium,0,5.000,800.000,656.000,-18.000,15.990,19.850,130.000,355.000,0.656,0.013,0.038,0.058,0.694,0.618,0.674,0.635,-18.000,3.000,20.000,15.000,1.000
mode medium,0,5.000,1500.000,1440.000,-4.000,29.420,30.050,130.000,395.000,1.440,0.077,0.231,0.161,1.671,1.208,1.569,1.319,-4.000,0.000,20.000,14.000,0.000
mode medium,0,5.000,2000.000,1662.000,-16.900,33.260,37.650,130.000,401.000,1.662,0.053,0.158,0.095,1.820,1.504,1.768,1.545,-16.900,2.000,20.000,15.000,1.000
mode medium,0,8.000,800.000,827.000,3.400,17.330,19.410,130.000,292.000,0.827,0.042,0.125,0.151,0.952,0.702,0.915,0.754,3.400,0.000,20.000,22.000,0.000
mode medium,0,8.000,1500.000,1243.000,-17.100,25.480,30.620,130.000,307.000,1.243,0.032,0.097,0.078,1.340,1.147,1.297,1.188,-17.100,2.000,20.000,22.000,1.000
mode medium,0,8.000,2000.000,1768.000,-11.600,34.740,36.170,130.000,327.000,1.768,0.029,0.088,0.050,1.856,1.680,1.830,1.723,-11.600,0.000,20.000,22.000,1.000
mode medium,0,10.000,800.000,664.000,-17.100,14.240,19.230,130.000,265.000,0.664,0.025,0.074,0.111,0.738,0.590,0.704,0.617,-17.100,4.000,20.000,27.000,1.000
mode medium,0,10.000,1500.000,1346.000,-10.300,27.110,29.080,130.000,298.000,1.346,0.007,0.022,0.016,1.368,1.324,1.364,1.334,-10.300,0.000,20.000,27.000,1.000
mode medium,0,10.000,2000.000,1787.000,-10.600,35.650,36.680,130.000,320.000,1.787,0.009,0.026,0.015,1.813,1.761,1.802,1.765,-10.600,0.000,20.000,27.000,1.000
mode medium,0,18.000,800.000,734.000,-8.200,16.230,18.300,130.000,262.000,0.734,0.006,0.017,0.024,0.752,0.717,0.749,0.722,-8.200,0.000,20.000,47.000,1.000
mode medium,0,18.000,1500.000,1445.000,-3.600,29.980,28.950,130.000,300.000,1.445,0.007,0.021,0.014,1.466,1.424,1.458,1.433,-3.600,0.000,20.000,46.000,0.000
mode medium,0,18.000,2000.000,2030.000,1.500,40.270,34.600,130.000,326.000,2.030,0.040,0.120,0.059,2.150,1.910,2.088,1.981,1.500,0.000,11.000,17.000,0.000
mode large,0,5.000,2500.000,2086.000,-16.600,40.680,47.550,130.000,463.000,2.086,0.102,0.306,0.147,2.392,1.780,2.271,1.902,-16.600,3.000,20.000,14.000,1.000
mode large,0,5.000,3000.000,2532.000,-15.600,48.300,52.470,130.000,478.000,2.532,0.070,0.209,0.083,2.741,2.322,2.702,2.395,-15.600,1.000,20.000,14.000,1.000
mode large,0,5.000,3500.000,3004.000,-14.200,56.390,57.100,130.000,495.000,3.004,0.070,0.210,0.070,3.214,2.794,3.109,2.888,-14.200,0.000,20.000,14.000,1.000
mode large,0,7.000,2500.000,2138.000,-14.500,41.480,47.190,130.000,400.000,2.138,0.035,0.106,0.050,2.245,2.032,2.202,2.080,-14.500,0.000,20.000,19.000,1.000
mode large,0,7.000,3000.000,2716.000,-9.500,51.810,52.380,130.000,425.000,2.716,0.015,0.044,0.016,2.761,2.672,2.732,2.688,-9.500,0.000,20.000,19.000,1.000
mode large,0,7.000,3500.000,3237.000,-7.500,60.870,57.070,130.000,450.000,3.237,0.020,0.059,0.018,3.296,3.178,3.270,3.198,-7.500,0.000,20.000,19.000,1.000
mode large,0,9.000,2500.000,2240.000,-10.400,44.160,46.170,130.000,390.000,2.240,0.011,0.033,0.015,2.273,2.207,2.261,2.219,-10.400,0.000,20.000,24.000,1.000
mode large,0,9.000,3000.000,2662.000,-11.300,52.310,52.890,130.000,413.000,2.662,0.016,0.048,0.018,2.710,2.615,2.695,2.638,-11.300,0.000,20.000,25.000,1.000
mode large,0,9.000,3500.000,3197.000,-8.600,62.160,57.180,130.000,440.000,3.197,0.023,0.069,0.022,3.267,3.128,3.235,3.156,-8.600,0.000,20.000,25.000,1.000
mode longSmall,0,5.000,200.000,172.000,-14.100,18.220,26.140,130.000,317.000,0.172,0.007,0.020,0.117,0.192,0.152,0.180,0.160,-14.100,0.000,20.000,15.000,1.000
mode longSmall,0,5.000,400.000,330.000,-17.500,30.930,41.130,130.000,341.000,0.330,0.006,0.017,0.052,0.347,0.313,0.340,0.318,-17.500,1.000,20.000,14.000,1.000
mode longSmall,0,5.000,600.000,605.000,0.800,52.620,58.260,130.000,375.000,0.605,0.011,0.032,0.054,0.637,0.572,0.625,0.583,0.800,0.000,20.000,14.000,0.000
mode longSmall,0,10.000,200.000,238.000,19.100,20.110,24.870,130.000,258.000,0.238,0.013,0.040,0.170,0.279,0.198,0.272,0.214,19.100,11.000,20.000,27.000,1.000
