Mode,Frequency,PMs,PMm,EMBm,EMBs,Prepulse,Pulse,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,Error,OOB,Size
mode small,5.000,200.000,187.505,19.380,25.460,130.000,285.000,0.188,0.006,0.019,0.100,0.206,0.169,0.199,0.179,-0.062,0.000,20.000,15.000
mode small,5.000,400.000,359.350,32.960,41.090,130.000,310.000,0.359,0.009,0.027,0.076,0.387,0.332,0.372,0.332,-0.102,0.000,20.000,14.000
mode small,5.000,600.000,521.350,46.640,58.570,130.000,329.000,0.521,0.016,0.047,0.091,0.569,0.474,0.546,0.491,-0.131,0.000,20.000,14.000
mode small,10.000,200.000,95.335,9.940,21.730,130.000,225.000,0.095,0.015,0.045,0.471,0.140,0.050,0.120,0.056,-0.523,20.000,20.000,27.000
mode small,10.000,200.000,144.390,13.770,21.730,130.000,228.000,0.144,0.018,0.054,0.374,0.198,0.090,0.175,0.110,-0.278,16.000,20.000,27.000
mode small,10.000,200.000,199.035,17.860,21.730,130.000,231.000,0.199,0.021,0.063,0.318,0.262,0.136,0.231,0.163,-0.005,0.000,20.000,27.000
mode small,10.000,400.000,279.900,23.490,39.930,130.000,235.000,0.280,0.012,0.037,0.134,0.317,0.242,0.303,0.260,-0.300,20.000,20.000,27.000
mode small,10.000,400.000,339.750,27.600,39.930,130.000,238.000,0.340,0.018,0.054,0.159,0.394,0.286,0.365,0.305,-0.151,4.000,20.000,27.000
mode small,10.000,600.000,478.250,37.860,56.710,130.000,245.000,0.478,0.025,0.074,0.155,0.553,0.404,0.531,0.417,-0.203,8.000,20.000,27.000
mode small,10.000,600.000,518.800,40.760,56.710,130.000,248.000,0.519,0.024,0.072,0.138,0.590,0.447,0.553,0.461,-0.135,2.000,20.000,27.000
mode small,15.000,200.000,149.635,13.880,21.200,130.000,214.000,0.150,0.004,0.011,0.070,0.160,0.139,0.155,0.140,-0.252,20.000,20.000,39.000
mode small,15.000,200.000,193.975,17.290,21.200,130.000,217.000,0.194,0.002,0.006,0.032,0.200,0.188,0.198,0.191,-0.030,0.000,20.000,39.000
mode small,15.000,400.000,344.950,28.730,38.420,130.000,227.000,0.345,0.006,0.018,0.053,0.363,0.327,0.357,0.337,-0.138,0.000,20.000,39.000
mode small,15.000,600.000,527.600,42.460,54.000,130.000,239.000,0.528,0.006,0.017,0.033,0.545,0.510,0.538,0.516,-0.121,0.000,20.000,39.000
mode small,20.000,200.000,148.535,14.190,20.850,130.000,217.000,0.149,0.003,0.009,0.063,0.158,0.139,0.156,0.144,-0.257,20.000,20.000,51.000
mode small,20.000,200.000,192.755,17.990,20.850,130.000,220.000,0.193,0.002,0.007,0.036,0.200,0.186,0.196,0.189,-0.036,0.000,20.000,50.000
mode small,20.000,400.000,324.500,27.680,37.910,130.000,229.000,0.325,0.007,0.020,0.062,0.345,0.304,0.335,0.315,-0.189,7.000,20.000,51.000
mode small,20.000,600.000,522.550,43.370,55.890,130.000,241.000,0.523,0.006,0.019,0.036,0.541,0.504,0.536,0.513,-0.129,0.000,20.000,51.000
mode medium,5.000,800.000,655.800,15.990,19.850,130.000,355.000,0.656,0.013,0.038,0.058,0.694,0.618,0.674,0.635,-0.180,3.000,20.000,15.000
mode medium,5.000,1500.000,1011.900,22.300,30.050,130.000,380.000,1.012,0.020,0.061,0.061,1.073,0.950,1.059,0.977,-0.325,20.000,20.000,14.000
mode medium,5.000,1500.000,1067.800,23.270,30.050,130.000,383.000,1.068,0.020,0.060,0.056,1.128,1.008,1.116,1.041,-0.288,20.000,20.000,14.000
mode medium,5.000,1500.000,1883.700,37.200,30.050,130.000,406.000,1.884,0.065,0.194,0.103,2.077,1.690,1.971,1.775,0.256,17.000,20.000,14.000
mode medium,5.000,1500.000,1439.950,29.420,30.050,130.000,395.000,1.440,0.077,0.231,0.161,1.671,1.208,1.569,1.319,-0.040,0.000,20.000,14.000
mode medium,5.000,2000.000,1541.100,31.180,37.650,130.000,398.000,1.541,0.078,0.235,0.153,1.777,1.306,1.676,1.403,-0.229,14.000,20.000,14.000
mode medium,5.000,2000.000,1661.800,33.260,37.650,130.000,401.000,1.662,0.053,0.158,0.095,1.820,1.504,1.768,1.545,-0.169,2.000,20.000,15.000
mode medium,8.000,800.000,476.700,10.760,19.410,130.000,278.000,0.477,0.043,0.130,0.273,0.607,0.347,0.573,0.409,-0.404,20.000,20.000,22.000
mode medium,8.000,800.000,548.000,12.020,19.410,130.000,281.000,0.548,0.046,0.137,0.249,0.685,0.411,0.622,0.481,-0.315,20.000,20.000,21.000
mode medium,8.000,800.000,826.850,17.330,19.410,130.000,292.000,0.827,0.042,0.125,0.151,0.952,0.702,0.915,0.754,0.034,0.000,20.000,22.000
mode medium,8.000,1500.000,1243.500,25.480,30.620,130.000,307.000,1.243,0.032,0.097,0.078,1.340,1.147,1.297,1.188,-0.171,2.000,20.000,22.000
