Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,5.000,200.000,187.000,-6.600,19.390,19.410,130.000,287.000,0.187,0.005,0.016,0.088,0.203,0.170,0.199,0.171,-6.600,0.000,100.000,22.000,1.000
mode small,0,6.000,200.000,184.000,-8.200,18.410,18.450,130.000,271.000,0.184,0.010,0.031,0.171,0.215,0.152,0.227,0.156,-8.200,1.000,100.000,26.000,1.000
mode small,0,8.000,200.000,192.000,-3.900,17.550,17.560,130.000,247.000,0.192,0.020,0.059,0.309,0.252,0.133,0.245,0.145,-3.900,6.000,100.000,29.000,0.000
mode small,1,5.000,200.000,195.000,-2.400,19.360,19.410,130.000,287.000,0.195,0.003,0.008,0.038,0.203,0.188,0.202,0.185,-2.400,0.000,100.000,22.000,0.000
mode small,1,6.000,200.000,195.000,-2.400,18.450,18.450,130.000,271.000,0.195,0.009,0.028,0.145,0.224,0.167,0.218,0.176,-2.400,0.000,100.000,26.000,0.000
mode small,1,8.000,200.000,194.000,-3.200,17.590,17.560,130.000,247.000,0.194,0.009,0.028,0.147,0.222,0.165,0.228,0.175,-3.200,0.000,100.000,34.000,0.000
mode small,2,5.000,200.000,209.000,4.400,19.380,19.410,130.000,287.000,0.209,0.005,0.014,0.067,0.223,0.195,0.224,0.198,4.400,0.000,100.000,22.000,0.000
mode small,2,6.000,200.000,216.000,8.100,18.450,18.450,130.000,271.000,0.216,0.008,0.024,0.113,0.241,0.192,0.236,0.196,8.100,0.000,100.000,26.000,1.000
mode small,2,8.000,200.000,208.000,3.800,17.560,17.560,130.000,247.000,0.208,0.014,0.041,0.197,0.249,0.167,0.236,0.173,3.800,0.000,100.000,34.000,0.000
mode small,3,5.000,200.000,210.000,5.000,19.320,19.410,130.000,287.000,0.210,0.002,0.007,0.033,0.217,0.203,0.218,0.204,5.000,0.000,100.000,22.000,0.000
mode small,3,6.000,200.000,207.000,3.400,18.520,18.450,130.000,271.000,0.207,0.010,0.031,0.149,0.237,0.176,0.229,0.176,3.400,0.000,100.000,26.000,0.000
mode small,3,8.000,200.000,203.000,1.400,17.550,17.560,130.000,247.000,0.203,0.011,0.034,0.167,0.237,0.169,0.227,0.175,1.400,0.000,100.000,34.000,0.000
mode small,0,10.000,200.000,192.000,-4.100,19.330,19.370,130.000,287.000,0.192,0.005,0.014,0.075,0.206,0.177,0.202,0.178,-4.100,0.000,100.000,42.000,0.000
mode small,3,10.000,200.000,209.000,4.300,19.280,19.370,130.000,287.000,0.209,0.004,0.012,0.055,0.220,0.197,0.217,0.193,4.300,0.000,100.000,42.000,0.000
mode small,0,15.000,200.000,196.000,-2.100,19.240,19.310,130.000,287.000,0.196,0.010,0.030,0.152,0.226,0.166,0.218,0.174,-2.100,0.000,100.000,62.000,0.000
mode small,3,15.000,200.000,203.000,1.300,19.210,19.310,130.000,287.000,0.203,0.007,0.022,0.107,0.224,0.181,0.216,0.187,1.300,0.000,100.000,62.000,0.000
mode small,0,20.000,200.000,198.000,-0.800,19.330,19.430,130.000,287.000,0.198,0.011,0.033,0.165,0.231,0.166,0.223,0.177,-0.800,0.000,100.000,81.000,0.000
mode small,0,25.000,200.000,202.000,0.800,18.250,18.180,130.000,268.000,0.202,0.012,0.036,0.180,0.238,0.165,0.227,0.162,0.800,0.000,100.000,101.000,0.000
mode small,0,30.000,200.000,199.000,-0.600,17.630,17.700,130.000,252.000,0.199,0.020,0.060,0.302,0.259,0.139,0.262,0.154,-0.600,3.000,100.000,121.000,0.000
mode small,0,35.000,200.000,196.000,-1.900,17.200,17.300,130.000,240.000,0.196,0.028,0.084,0.427,0.280,0.112,0.285,0.117,-1.900,15.000,100.000,136.000,0.000
mode small,0,40.000,200.000,200.000,-0.200,17.950,17.970,130.000,231.000,0.200,0.010,0.031,0.157,0.231,0.168,0.222,0.174,-0.200,0.000,100.000,158.000,0.000
mode small,0,50.000,200.000,200.000,-0.200,17.870,17.880,130.000,221.000,0.200,0.005,0.014,0.072,0.214,0.185,0.210,0.188,-0.200,0.000,100.000,198.000,0.000
mode small,0,60.000,200.000,199.000,-0.500,18.030,18.050,130.000,217.000,0.199,0.010,0.029,0.147,0.228,0.170,0.215,0.176,-0.500,0.000,100.000,230.000,0.000
mode small,0,70.000,200.000,199.000,-0.400,18.120,18.200,130.000,218.000,0.199,0.013,0.038,0.191,0.237,0.161,0.221,0.166,-0.400,0.000,100.000,280.000,0.000
mode small,0,80.000,200.000,200.000,0.100,18.180,18.230,130.000,221.000,0.200,0.015,0.044,0.219,0.244,0.156,0.226,0.164,0.100,0.000,100.000,325.000,0.000
mode small,0,5.000,300.000,295.000,-1.600,27.750,27.700,130.000,302.000,0.295,0.009,0.026,0.087,0.321,0.269,0.312,0.280,-1.600,0.000,100.000,22.000,0.000
mode small,0,6.000,300.000,278.000,-7.400,25.960,25.910,130.000,283.000,0.278,0.015,0.044,0.158,0.322,0.234,0.311,0.241,-7.400,0.000,100.000,26.000,1.000
mode small,0,8.000,300.000,287.000,-4.300,24.700,24.800,130.000,254.000,0.287,0.033,0.098,0.343,0.385,0.189,0.383,0.202,-4.300,7.000,100.000,34.000,0.000
mode small,1,5.000,300.000,289.000,-3.800,27.640,27.700,130.000,302.000,0.289,0.005,0.015,0.053,0.304,0.273,0.303,0.273,-3.800,0.000,100.000,22.000,0.000
mode small,1,6.000,300.000,303.000,1.100,25.990,25.910,130.000,283.000,0.303,0.009,0.027,0.090,0.330,0.276,0.321,0.285,1.100,0.000,100.000,26.000,0.000
mode small,1,8.000,300.000,299.000,-0.300,24.750,24.800,130.000,254.000,0.299,0.038,0.114,0.380,0.413,0.186,0.400,0.209,-0.300,9.000,100.000,34.000,0.000
mode small,2,5.000,300.000,307.000,2.400,27.630,27.700,130.000,302.000,0.307,0.008,0.023,0.075,0.330,0.284,0.326,0.286,2.400,0.000,100.000,22.000,0.000
mode small,2,6.000,300.000,318.000,5.900,25.930,25.910,130.000,283.000,0.318,0.007,0.022,0.069,0.340,0.296,0.336,0.301,5.900,0.000,100.000,26.000,1.000
mode small,2,8.000,300.000,311.000,3.600,24.700,24.800,130.000,254.000,0.311,0.042,0.126,0.404,0.436,0.185,0.407,0.231,3.600,15.000,100.000,34.000,0.000
mode small,3,5.000,300.000,310.000,3.400,27.580,27.700,130.000,302.000,0.310,0.006,0.017,0.056,0.328,0.293,0.322,0.296,3.400,0.000,100.000,22.000,0.000
mode small,3,6.000,300.000,305.000,1.800,25.910,25.910,130.000,283.000,0.305,0.007,0.022,0.073,0.328,0.283,0.322,0.287,1.800,0.000,100.000,26.000,0.000
mode small,3,8.000,300.000,303.000,1.000,24.840,24.800,130.000,254.000,0.303,0.010,0.030,0.098,0.332,0.273,0.333,0.280,1.000,0.000,100.000,34.000,0.000
mode small,0,10.000,300.000,294.000,-2.000,27.570,27.630,130.000,302.000,0.294,0.012,0.035,0.118,0.329,0.259,0.323,0.273,-2.000,0.000,100.000,42.000,0.000
mode small,3,10.000,300.000,307.000,2.400,27.590,27.630,130.000,302.000,0.307,0.008,0.023,0.075,0.330,0.284,0.327,0.286,2.400,0.000,100.000,42.000,0.000
mode small,0,15.000,300.000,299.000,-0.400,27.780,27.830,130.000,302.000,0.299,0.011,0.034,0.113,0.333,0.265,0.327,0.272,-0.400,0.000,100.000,61.000,0.000
mode small,3,15.000,300.000,302.000,0.800,27.820,27.830,130.000,302.000,0.302,0.010,0.031,0.103,0.334,0.271,0.325,0.270,0.800,0.000,100.000,61.000,0.000
mode small,0,20.000,300.000,300.000,-0.000,27.740,27.770,130.000,302.000,0.300,0.010,0.030,0.101,0.330,0.270,0.324,0.278,-0.000,0.000,100.000,81.000,0.000
mode small,0,25.000,300.000,300.000,-0.100,25.980,26.000,130.000,278.000,0.300,0.018,0.055,0.183,0.354,0.245,0.342,0.247,-0.100,0.000,100.000,101.000,0.000
mode small,0,30.000,300.000,299.000,-0.300,25.100,25.020,130.000,260.000,0.299,0.028,0.083,0.277,0.382,0.216,0.372,0.222,-0.300,4.000,100.000,120.000,0.000
mode small,0,35.000,300.000,300.000,0.100,25.280,25.370,130.000,246.000,0.300,0.027,0.080,0.268,0.381,0.220,0.359,0.230,0.100,1.000,100.000,137.000,0.000
mode small,0,40.000,300.000,298.000,-0.800,25.530,25.590,130.000,236.000,0.298,0.015,0.046,0.155,0.344,0.251,0.328,0.236,-0.800,1.000,100.000,158.000,0.000
mode small,0,50.000,300.000,299.000,-0.200,25.680,25.690,130.000,226.000,0.299,0.007,0.021,0.069,0.320,0.279,0.317,0.285,-0.200,0.000,100.000,196.000,0.000
mode small,0,60.000,300.000,299.000,-0.300,25.900,25.930,130.000,224.000,0.299,0.010,0.031,0.103,0.330,0.268,0.325,0.274,-0.300,0.000,100.000,230.000,0.000
mode small,0,70.000,300.000,300.000,0.000,26.230,26.220,130.000,226.000,0.300,0.013,0.040,0.132,0.340,0.261,0.326,0.263,0.000,0.000,100.000,280.000,0.000
mode small,0,80.000,300.000,297.000,-1.200,26.020,26.140,130.000,227.000,0.297,0.017,0.050,0.170,0.347,0.246,0.322,0.249,-1.200,0.000,100.000,323.000,0.000
mode small,0,5.000,400.000,386.000,-3.400,34.560,34.560,130.000,315.000,0.386,0.008,0.023,0.058,0.409,0.364,0.409,0.372,-3.400,0.000,100.000,21.000,0.000
mode small,0,6.000,400.000,379.000,-5.300,33.070,33.090,130.000,293.000,0.379,0.023,0.070,0.186,0.449,0.308,0.449,0.340,-5.300,0.000,100.000,26.000,1.000
mode small,0,8.000,400.000,386.000,-3.400,31.650,31.460,130.000,260.000,0.386,0.041,0.123,0.319,0.510,0.263,0.486,0.273,-3.400,8.000,100.000,34.000,0.000
mode small,1,5.000,400.000,381.000,-4.700,34.580,34.560,130.000,315.000,0.381,0.011,0.034,0.089,0.415,0.348,0.404,0.347,-4.700,0.000,100.000,22.000,0.000
mode small,1,6.000,400.000,392.000,-1.900,33.110,33.090,130.000,293.000,0.392,0.027,0.082,0.208,0.474,0.311,0.464,0.340,-1.900,0.000,100.000,26.000,0.000
mode small,1,8.000,400.000,402.000,0.500,31.650,31.460,130.000,260.000,0.402,0.033,0.099,0.246,0.501,0.303,0.481,0.308,0.500,2.000,100.000,34.000,0.000
mode small,2,5.000,400.000,416.000,4.100,34.390,34.560,130.000,315.000,0.416,0.009,0.026,0.062,0.442,0.390,0.434,0.399,4.100,0.000,100.000,22.000,0.000
mode small,2,6.000,400.000,423.000,5.800,33.120,33.090,130.000,293.000,0.423,0.018,0.054,0.128,0.477,0.369,0.466,0.379,5.800,0.000,100.000,26.000,1.000
mode small,2,8.000,400.000,413.000,3.300,31.480,31.460,130.000,260.000,0.413,0.037,0.112,0.271,0.525,0.301,0.489,0.295,3.300,5.000,100.000,34.000,0.000
mode small,3,5.000,400.000,412.000,3.100,34.520,34.560,130.000,315.000,0.412,0.007,0.022,0.052,0.434,0.391,0.427,0.389,3.100,0.000,100.000,22.000,0.000
mode small,3,6.000,400.000,407.000,1.800,33.140,33.090,130.000,293.000,0.407,0.011,0.034,0.084,0.441,0.373,0.436,0.375,1.800,0.000,100.000,25.000,0.000
mode small,3,8.000,400.000,404.000,1.100,31.540,31.460,130.000,260.000,0.404,0.033,0.098,0.243,0.502,0.306,0.503,0.352,1.100,4.000,100.000,34.000,0.000
mode small,0,10.000,400.000,381.000,-4.800,34.640,34.630,130.000,315.000,0.381,0.018,0.054,0.142,0.435,0.327,0.427,0.347,-4.800,0.000,100.000,42.000,0.000
mode small,3,10.000,400.000,416.000,4.100,34.470,34.630,130.000,315.000,0.416,0.008,0.025,0.061,0.442,0.391,0.434,0.394,4.100,0.000,100.000,42.000,0.000
mode small,0,15.000,400.000,396.000,-0.900,34.690,34.620,130.000,315.000,0.396,0.023,0.070,0.176,0.466,0.327,0.436,0.352,-0.900,0.000,100.000,61.000,0.000
mode small,3,15.000,400.000,407.000,1.700,34.640,34.620,130.000,315.000,0.407,0.019,0.058,0.142,0.464,0.349,0.436,0.360,1.700,0.000,100.000,62.000,0.000
mode small,0,20.000,400.000,403.000,0.800,34.790,34.710,130.000,315.000,0.403,0.021,0.064,0.158,0.467,0.339,0.439,0.350,0.800,0.000,100.000,82.000,0.000
mode small,0,25.000,400.000,404.000,0.900,33.210,33.070,130.000,288.000,0.404,0.026,0.077,0.191,0.481,0.327,0.474,0.342,0.900,0.000,100.000,100.000,0.000
mode small,0,30.000,400.000,400.000,-0.100,32.060,32.290,130.000,267.000,0.400,0.043,0.129,0.322,0.528,0.271,0.516,0.310,-0.100,5.000,100.000,121.000,0.000
mode small,0,35.000,400.000,400.000,-0.100,32.720,32.580,130.000,252.000,0.400,0.023,0.068,0.170,0.468,0.332,0.489,0.327,-0.100,1.000,100.000,137.000,0.000
mode small,0,40.000,400.000,399.000,-0.200,32.800,32.730,130.000,241.000,0.399,0.013,0.040,0.101,0.440,0.359,0.429,0.367,-0.200,0.000,100.000,159.000,0.000
mode small,0,50.000,400.000,400.000,0.100,32.900,32.940,130.000,231.000,0.400,0.009,0.026,0.065,0.426,0.375,0.422,0.377,0.100,0.000,100.000,196.000,0.000
mode small,0,60.000,400.000,399.000,-0.200,33.290,33.320,130.000,231.000,0.399,0.013,0.040,0.101,0.440,0.359,0.429,0.372,-0.200,0.000,100.000,230.000,0.000
mode small,0,70.000,400.000,398.000,-0.500,33.500,33.500,130.000,234.000,0.398,0.017,0.050,0.126,0.448,0.348,0.439,0.357,-0.500,0.000,100.000,279.000,0.000
mode small,0,80.000,400.000,401.000,0.200,33.610,33.610,130.000,234.000,0.401,0.020,0.060,0.151,0.461,0.340,0.446,0.355,0.200,0.000,100.000,323.000,0.000
mode small,0,5.000,500.000,469.000,-6.100,41.830,41.900,130.000,327.000,0.469,0.019,0.058,0.123,0.527,0.412,0.516,0.436,-6.100,0.000,100.000,22.000,1.000
mode small,0,6.000,500.000,481.000,-3.900,39.860,39.850,130.000,302.000,0.481,0.016,0.047,0.098,0.528,0.433,0.533,0.449,-3.900,0.000,100.000,26.000,0.000
mode small,0,8.000,500.000,482.000,-3.600,38.970,38.970,130.000,267.000,0.482,0.045,0.134,0.279,0.616,0.348,0.568,0.384,-3.600,4.000,100.000,34.000,0.000
mode small,1,5.000,500.000,486.000,-2.700,41.870,41.900,130.000,327.000,0.486,0.011,0.033,0.069,0.520,0.453,0.523,0.451,-2.700,0.000,100.000,22.000,0.000
mode small,1,6.000,500.000,478.000,-4.500,39.980,39.850,130.000,302.000,0.478,0.033,0.098,0.206,0.576,0.379,0.541,0.377,-4.500,1.000,100.000,26.000,0.000
mode small,1,8.000,500.000,499.000,-0.100,39.030,38.970,130.000,267.000,0.499,0.022,0.067,0.134,0.566,0.432,0.546,0.444,-0.100,0.000,100.000,34.000,0.000
