Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,5.000,800.000,828.000,3.500,18.260,18.300,130.000,428.000,0.828,0.032,0.097,0.117,0.925,0.732,0.908,0.769,3.500,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,800.000,815.000,1.800,17.710,17.690,130.000,389.000,0.815,0.065,0.195,0.239,1.010,0.620,1.039,0.662,1.800,2.000,100.000,26.000,0.000
mode longMedium,0,8.000,800.000,778.000,-2.700,16.980,16.980,130.000,338.000,0.778,0.045,0.134,0.173,0.913,0.644,0.883,0.677,-2.700,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,800.000,835.000,4.400,18.290,18.300,130.000,428.000,0.835,0.034,0.102,0.122,0.937,0.734,0.922,0.761,4.400,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,800.000,822.000,2.700,17.690,17.690,130.000,389.000,0.822,0.068,0.204,0.249,1.026,0.617,1.017,0.709,2.700,3.000,100.000,26.000,0.000
mode longMedium,1,8.000,800.000,798.000,-0.300,16.990,16.980,130.000,338.000,0.798,0.026,0.079,0.100,0.877,0.718,0.863,0.734,-0.300,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,800.000,901.000,12.600,18.270,18.300,130.000,428.000,0.901,0.047,0.141,0.157,1.042,0.760,1.004,0.796,12.600,13.000,100.000,22.000,1.000
mode longMedium,2,6.000,800.000,850.000,6.300,17.680,17.690,130.000,389.000,0.850,0.030,0.091,0.107,0.942,0.759,0.974,0.779,6.300,1.000,100.000,26.000,1.000
mode longMedium,2,8.000,800.000,817.000,2.200,16.980,16.980,130.000,338.000,0.817,0.016,0.049,0.060,0.866,0.769,0.860,0.781,2.200,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,800.000,875.000,9.300,18.270,18.300,130.000,428.000,0.875,0.018,0.055,0.063,0.930,0.820,0.925,0.823,9.300,0.000,100.000,22.000,1.000
mode longMedium,3,6.000,800.000,869.000,8.600,17.690,17.690,130.000,389.000,0.869,0.032,0.097,0.112,0.966,0.772,0.989,0.806,8.600,2.000,100.000,26.000,1.000
mode longMedium,3,8.000,800.000,797.000,-0.400,16.980,16.980,130.000,338.000,0.797,0.010,0.031,0.039,0.827,0.766,0.816,0.769,-0.400,0.000,100.000,34.000,0.000
mode longMedium,0,10.000,800.000,829.000,3.600,18.210,18.230,130.000,428.000,0.829,0.023,0.070,0.084,0.899,0.759,0.880,0.774,3.600,0.000,100.000,42.000,0.000
mode longMedium,3,10.000,800.000,876.000,9.500,18.180,18.230,130.000,428.000,0.876,0.036,0.109,0.125,0.985,0.767,0.989,0.801,9.500,2.000,100.000,42.000,1.000
mode longMedium,0,15.000,800.000,835.000,4.300,18.040,18.020,130.000,428.000,0.835,0.041,0.122,0.146,0.957,0.712,0.945,0.759,4.300,0.000,100.000,60.000,0.000
mode longMedium,3,15.000,800.000,846.000,5.800,18.000,18.020,130.000,428.000,0.846,0.032,0.096,0.114,0.943,0.750,0.912,0.781,5.800,0.000,100.000,57.000,1.000
mode longMedium,0,20.000,800.000,837.000,4.700,18.030,18.060,130.000,428.000,0.837,0.042,0.127,0.152,0.965,0.710,0.972,0.746,4.700,1.000,100.000,81.000,0.000
