Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode small,0,50.000,200.000,200.000,-0.100,17.770,17.940,130.000,221.000,0.200,0.009,0.026,0.128,0.225,0.174,0.224,0.177,-0.100,0.000,100.000,196.000,0.000
mode small,0,50.000,200.000,196.000,-1.900,17.820,17.940,130.000,221.000,0.196,0.023,0.068,0.348,0.265,0.128,0.226,-0.001,-1.900,1.000,100.000,197.000,0.000
mode small,0,50.000,200.000,197.000,-1.700,17.820,17.940,130.000,221.000,0.197,0.022,0.065,0.329,0.261,0.132,0.222,-0.000,-1.700,1.000,100.000,198.000,0.000
mode small,0,50.000,200.000,196.000,-1.800,17.870,17.940,130.000,221.000,0.196,0.022,0.065,0.332,0.262,0.131,0.222,0.003,-1.800,1.000,100.000,197.000,0.000
mode small,0,50.000,200.000,197.000,-1.400,17.880,17.940,130.000,221.000,0.197,0.023,0.068,0.344,0.265,0.129,0.227,-0.001,-1.400,1.000,100.000,196.000,0.000
mode small,0,50.000,200.000,202.000,0.800,17.940,17.940,130.000,221.000,0.202,0.010,0.029,0.146,0.231,0.172,0.222,0.179,0.800,0.000,100.000,196.000,0.000
mode small,0,50.000,200.000,199.000,-0.500,17.860,17.940,130.000,221.000,0.199,0.010,0.031,0.156,0.230,0.168,0.230,0.181,-0.500,0.000,100.000,196.000,0.000
mode small,0,50.000,200.000,195.000,-2.700,17.860,17.940,130.000,221.000,0.195,0.021,0.064,0.329,0.259,0.131,0.213,0.003,-2.700,1.000,100.000,196.000,0.000
mode small,0,50.000,200.000,201.000,0.300,17.880,17.940,130.000,221.000,0.201,0.010,0.029,0.146,0.230,0.171,0.230,0.178,0.300,0.000,100.000,198.000,0.000
mode small,0,50.000,200.000,197.000,-1.600,17.860,17.940,130.000,221.000,0.197,0.009,0.028,0.140,0.224,0.169,0.213,0.174,-1.600,0.000,100.000,197.000,0.000
mode small,0,50.000,200.000,198.000,-1.100,17.820,17.940,130.000,221.000,0.198,0.009,0.027,0.137,0.225,0.171,0.218,0.175,-1.100,0.000,100.000,176.000,0.000
mode small,0,50.000,200.000,199.000,-0.500,17.890,17.940,130.000,221.000,0.199,0.008,0.024,0.123,0.223,0.175,0.223,0.184,-0.500,0.000,100.000,177.000,0.000
mode small,0,50.000,200.000,195.000,-2.700,17.850,17.940,130.000,221.000,0.195,0.022,0.065,0.333,0.259,0.130,0.219,0.005,-2.700,1.000,100.000,178.000,0.000
mode small,0,50.000,200.000,199.000,-0.400,17.890,17.940,130.000,221.000,0.199,0.011,0.032,0.158,0.231,0.168,0.227,0.175,-0.400,0.000,100.000,178.000,0.000
mode small,0,50.000,200.000,199.000,-0.500,17.900,17.940,130.000,221.000,0.199,0.008,0.025,0.126,0.224,0.174,0.216,0.181,-0.500,0.000,100.000,197.000,0.000
mode small,0,50.000,200.000,199.000,-0.600,17.950,17.940,130.000,221.000,0.199,0.007,0.020,0.103,0.219,0.178,0.223,0.185,-0.600,0.000,100.000,196.000,0.000
mode small,0,50.000,200.000,198.000,-1.100,17.960,17.940,130.000,221.000,0.198,0.008,0.025,0.124,0.222,0.173,0.212,0.175,-1.100,0.000,100.000,197.000,0.000
mode small,0,54.000,200.000,191.000,-4.700,17.930,17.940,130.000,221.000,0.191,0.040,0.121,0.632,0.311,0.070,0.222,-0.001,-4.700,4.000,100.000,196.000,0.000
mode small,0,50.000,200.000,199.000,-0.700,17.940,17.940,130.000,221.000,0.199,0.022,0.065,0.328,0.264,0.134,0.220,-0.001,-0.700,1.000,100.000,197.000,0.000
mode small,0,50.000,200.000,199.000,-0.400,17.920,17.940,130.000,221.000,0.199,0.009,0.027,0.136,0.226,0.172,0.222,0.175,-0.400,0.000,100.000,190.000,0.000
